Title,Url,FileName,Status
Jaffna Branch,https://indianbank.in/departments/jaffna-branch/,indianbank_1.txt,Found
Application Downloads,https://indianbank.in/departments/downloads/,indianbank_2.txt,Found
BHIM Aadhaar Pay,https://indianbank.in/departments/bhimaadhaarpay/,indianbank_3.txt,Found
NETC FASTag,https://indianbank.in/departments/netc-fastag/,indianbank_4.txt,Found
RESTRUCTURED ACCOUNTS,https://indianbank.in/departments/restructured-accounts/,indianbank_5.txt,Found
Service Charges,https://indianbank.in/departments/service-charges-page-parti/,indianbank_6.txt,Found
Remittance To India,https://indianbank.in/departments/remit-of-india/,indianbank_7.txt,Found
MSME,https://indianbank.in/category/loans/sme/,indianbank_8.txt,Found
Personal/Individual,https://indianbank.in/category/loans/personal-individual/,indianbank_9.txt,Found
Deposit Rates,https://indianbank.in/departments/deposit-rates/,indianbank_10.txt,Found
Newsletter  IND NAVYA,https://indianbank.in/departments/newsletter/,indianbank_11.txt,Found
Debit Cards,https://indianbank.in/departments/debit-cards/,indianbank_12.txt,Found
Security,https://indianbank.in/departments/security/,indianbank_13.txt,Found
Amalgamation,https://indianbank.in/departments/amalgamation-3/,indianbank_14.txt,Found
Featured Products / Services / Schemes,https://indianbank.in/category/featured-products-services-schemes/,indianbank_15.txt,Found
What’s New?,https://indianbank.in/departments/what-is-new/,indianbank_16.txt,Found
Corporate,https://indianbank.in/category/loans/corporate/,indianbank_17.txt,Found
Block Lost ATM Card,https://indianbank.in/departments/block-lost-atm-card/,indianbank_18.txt,Found
Premium Services,https://indianbank.in/category/services/premium-services/,indianbank_19.txt,Found
Vision and Mission,https://indianbank.in/departments/vision-and-mission/,indianbank_20.txt,Found
Service Charges / Forex Rates,https://indianbank.in/service-charges-forex-rates/,indianbank_21.txt,Found
Nodal Officers,https://indianbank.in/departments/nodal-officers/,indianbank_22.txt,Found
Agriculture,https://indianbank.in/category/loans/agriculture/,indianbank_23.txt,Found
Indian Bank Financial Results,https://indianbank.in/departments/financial-results-ib/,indianbank_24.txt,Found
Regulatory Disclosures Section,https://indianbank.in/departments/regulatory-disclosures-section/,indianbank_25.txt,Found
SMS Banking/ Missed Call Service,https://indianbank.in/departments/sms-banking/,indianbank_26.txt,Found
Foreign Branches,https://indianbank.in/departments/foreign-branches/,indianbank_27.txt,Found
Investor Relations,https://indianbank.in/investors-services-ib/,indianbank_28.txt,Found
Quick Contact,https://indianbank.in/departments/quick-contact/,indianbank_29.txt,Found
Chief General Managers,https://indianbank.in/departments/chief-general-manager/,indianbank_30.txt,Found
Online Collection Products,https://indianbank.in/departments/online_collection_products/,indianbank_31.txt,Found
Managing Director & CEO’s Profile,https://indianbank.in/departments/managing-director-ceos-profile/,indianbank_32.txt,Found
CMS Plus,https://indianbank.in/departments/cms-plus/,indianbank_33.txt,Found
Executive Director’s Profile,https://indianbank.in/departments/executive-directors-profile/,indianbank_34.txt,Found
Welfare of Minorities,https://indianbank.in/departments/welfare-of-minorities/,indianbank_35.txt,Found
Customer Complaints / Awareness,https://indianbank.in/departments/online-customer-complaints/,indianbank_36.txt,Found
NRI,https://indianbank.in/category/loans/nri/,indianbank_37.txt,Found
Careers,https://indianbank.in/career/,indianbank_38.txt,Found
Debenture Trustee,https://indianbank.in/departments/debenture-trustee/,indianbank_39.txt,Found
Best Practices code of the Bank,https://indianbank.in/departments/best-practices-code-of-the-bank/,indianbank_40.txt,Found
INDIAN BANK MUTUAL FUND,https://indianbank.in/departments/indian-bank-mutual-fund/,indianbank_41.txt,Found
Current A/c,https://indianbank.in/category/current-a-c/,indianbank_42.txt,Found
E Confirmation of Bank Guarantee,https://indianbank.in/departments/e-confirmation-of-bank-guarantee/,indianbank_43.txt,Found
Whistle Blower Policy,https://indianbank.in/departments/whistle-blower-policy/,indianbank_44.txt,Found
Notifications,https://indianbank.in/departments/notifications/,indianbank_45.txt,Found
Merchant UPI QR Code,https://indianbank.in/departments/merchant_upi_qr_code/,indianbank_46.txt,Found
Education,https://indianbank.in/category/loans/education/,indianbank_47.txt,Found
External Sites,https://indianbank.in/departments/related-sites/,indianbank_48.txt,Found
Credit Cards,https://indianbank.in/departments/credit-card/,indianbank_49.txt,Found
Online Services,https://indianbank.in/departments/online-services/,indianbank_50.txt,Found
Bank’s Profile,https://indianbank.in/departments/banks-profile/,indianbank_51.txt,Found
e Payment of Indirect Taxes,https://indianbank.in/departments/e-payment-of-indirect-taxes/,indianbank_52.txt,Found
0 Category,https://indianbank.in/category/uncategorized/,indianbank_53.txt,Found
Groups,https://indianbank.in/category/loans/groups/,indianbank_54.txt,Found
Principal Code Compliance Officers (BCSBI),https://indianbank.in/departments/principal-code-compliance-officers-bcsbi/,indianbank_55.txt,Found
e-Allahabad Bank Journey,https://indianbank.in/e-allahabad-bank-corner/,indianbank_56.txt,Found
Another Option for Pension,https://indianbank.in/departments/another-option-for-pension/,indianbank_57.txt,Found
IND-GECLS-COVID-19,https://indianbank.in/departments/ind-gecls-covid-19/,indianbank_58.txt,Found
,https://indianbank.in/departments/ind-covid-emergency-pension-loan/,,Not Found
IMAGE  Email Id’s,https://indianbank.in/departments/image-2/,indianbank_60.txt,Found
Insurance Services,https://indianbank.in/category/services/insurance-services/,indianbank_61.txt,Found
Damodaran Committee Recommendations,https://indianbank.in/departments/damodaran-committee-recommendations/,indianbank_62.txt,Found
Corporate Social Responsiblity,https://indianbank.in/departments/corporate-social-responsiblity/,indianbank_63.txt,Found
Term Deposits,https://indianbank.in/category/term-deposits/,indianbank_64.txt,Found
Block Lost Credit Card,https://indianbank.in/departments/block-lost-credit-card/,indianbank_65.txt,Found
Disclaimer,https://indianbank.in/departments/disclaimer/,indianbank_66.txt,Found
Doorstep Banking,https://indianbank.in/departments/doorstep-banking/,indianbank_67.txt,Found
Financial Inclusion,https://indianbank.in/departments/financial-inclusion/,indianbank_68.txt,Found
Branch ATM,https://indianbank.in/branch-atm/,indianbank_69.txt,Found
Services rendered free of charge,https://indianbank.in/departments/services-rendered-free-of-charge/,indianbank_70.txt,Found
,https://indianbank.in/departments/47516/,,Not Found
Head Office Departments,https://indianbank.in/departments/department/,indianbank_72.txt,Found
,https://indianbank.in/departments/ind-covid-emergency-credit-line/,,Not Found
Death Claim,https://indianbank.in/departments/death-claim/,indianbank_74.txt,Found
Sukanya Samriddhi Account,https://indianbank.in/departments/sukanya-samriddhi-account/,indianbank_75.txt,Found
Lending rates,https://indianbank.in/lending-rates/,indianbank_76.txt,Found
Awards & Accolades,https://indianbank.in/departments/awards-accolades/,indianbank_77.txt,Found
Chief Vigilance Officer,https://indianbank.in/departments/cvo/,indianbank_78.txt,Found
Departments,https://indianbank.in/departments/,indianbank_79.txt,Found
Press Releases,https://indianbank.in/departments/press-releases/,indianbank_80.txt,Found
Right to Information Act 2005,https://indianbank.in/departments/right-to-information-act-2005/,indianbank_81.txt,Found
e Payment of Direct Taxes,https://indianbank.in/departments/e-payment-of-direct-taxes/,indianbank_82.txt,Found
"Nodal Officers  Banking Ombudsman scheme, 2021",https://indianbank.in/departments/nodal-officers-banking-ombudsman-scheme-2016/,indianbank_83.txt,Found
MSME,https://indianbank.in/departments/msme/,indianbank_84.txt,Found
Customer Centric Services,https://indianbank.in/departments/customer-centric-services/,indianbank_85.txt,Found
N R I / Foreign Exchange,https://indianbank.in/departments/n-r-i-foreign-exchange/,indianbank_86.txt,Found
Savings Bank A/c,https://indianbank.in/category/savings-bank-a-c/,indianbank_87.txt,Found
Centralized Pension Processing Centre,https://indianbank.in/departments/centralized-pension-processing-systems/,indianbank_88.txt,Found
Nodal Officers- Customer service,https://indianbank.in/departments/nodal-officers-customer-service/,indianbank_89.txt,Found
Board of Directors,https://indianbank.in/departments/board-of-directors/,indianbank_90.txt,Found
Internet banking,https://indianbank.in/departments/internet-banking/,indianbank_91.txt,Found
Tenders / Auction,https://indianbank.in/tenders/,indianbank_92.txt,Found
ATM / Debit Cards,https://indianbank.in/departments/atm-debit-cards/,indianbank_93.txt,Found
Colombo Branch,https://indianbank.in/departments/colombo-branch/,indianbank_94.txt,Found
F.A.Qs,https://indianbank.in/departments/f-a-qs/,indianbank_95.txt,Found
Complaints Officer,https://indianbank.in/departments/complaints-officers-list/,indianbank_96.txt,Found
Online Loans,https://indianbank.in/departments/digital-lending/,indianbank_97.txt,Found
National Common Mobility Card (NCMC),https://indianbank.in/departments/national-common-mobility-card-ncmc/,indianbank_98.txt,Found
General Managers,https://indianbank.in/departments/general-managers/,indianbank_99.txt,Found
Positive Pay System (PPS),https://indianbank.in/departments/pps/,indianbank_100.txt,Found
Merchant Digital Products,https://indianbank.in/departments/merchant-digital-products/,indianbank_101.txt,Found
NRI A/cs,https://indianbank.in/category/nri-a-cs/,indianbank_102.txt,Found
Point of Sale (PoS),https://indianbank.in/departments/pos/,indianbank_103.txt,Found
Zonal Offices,https://indianbank.in/departments/zonal-offices/,indianbank_104.txt,Found
IndOASIS,https://indianbank.in/departments/indoasis/,indianbank_105.txt,Found
Site Map,https://indianbank.in/site-map/,indianbank_106.txt,Found
,https://indianbank.in/departments/shg-covid-sahaya-loan/,,Not Found
,https://indianbank.in/departments/ind-mse-covid-emergency-loan/,,Not Found
IMAGE,https://indianbank.in/departments/image/,indianbank_109.txt,Found
Banking Ombudsman,https://indianbank.in/departments/banking-ombudsman/,indianbank_110.txt,Found
IB Doctor Plus,https://indianbank.in/departments/ib-doctor-plus/,indianbank_111.txt,Found
IB CONTRACTORS,https://indianbank.in/departments/ib-contractors-2/,indianbank_112.txt,Found
IB MY OWN SHOP,https://indianbank.in/departments/47556/,indianbank_113.txt,Found
INDSME Arogyam,https://indianbank.in/departments/indsme-arogyam/,indianbank_114.txt,Found
IND-SME EASE,https://indianbank.in/departments/ind-sme-ease/,indianbank_115.txt,Found
GECLS Extension Loans,https://indianbank.in/departments/gelcs-extension-loans/,indianbank_116.txt,Found
ONLINE SHISHU MUDRA LOAN,https://indianbank.in/departments/online-shishu-mudra-loan/,indianbank_117.txt,Found
INDSME Sanjeevini,https://indianbank.in/departments/indsme-sanjeevini/,indianbank_118.txt,Found
IND MSME VEHICLE,https://indianbank.in/departments/ind-msme-vehicle/,indianbank_119.txt,Found
IB Tradewell,https://indianbank.in/departments/ib-tradewell/,indianbank_120.txt,Found
IND-SME E-VAAHAN,https://indianbank.in/departments/ind-sme-e-vaahan/,indianbank_121.txt,Found
IB MICRO,https://indianbank.in/departments/ib-micro/,indianbank_122.txt,Found
IND-SURYA SHAKTI,https://indianbank.in/departments/ind-surya-shakti/,indianbank_123.txt,Found
IND-SDSM (IND-SUBORDINATED DEBT FOR STRESSED MSME),https://indianbank.in/departments/ind-sdsm-ind-subordinated-debt-for-stressed-msme/,indianbank_124.txt,Found
IND SME Secure,https://indianbank.in/departments/ind-sme-secure/,indianbank_125.txt,Found
IND MSME SAKHI,https://indianbank.in/departments/ind-msme-sakhi/,indianbank_126.txt,Found
IB Home Loan Plus,https://indianbank.in/departments/ib-home-loan-plus/,indianbank_127.txt,Found
Interest Rates on Personal Segment Loan Products,https://indianbank.in/departments/interest-rates-on-personal-segment-loan-products/,indianbank_128.txt,Found
Processing Fee on Personal Segment Loan Products,https://indianbank.in/departments/processing-fee-on-personal-segment-loan-products/,indianbank_129.txt,Found
Jewel Loan,https://indianbank.in/departments/jewel-loan/,indianbank_130.txt,Found
LOAN AGAINST LEASE RENTALS,https://indianbank.in/departments/loan-against-lease-rentals/,indianbank_131.txt,Found
NRI Plot Loan,https://indianbank.in/departments/nri-plot-loan/,indianbank_132.txt,Found
Loan for Purchase of “Van / Minibus / Bus / Ambulance” to Institutions / Firms / PSU / Company / Hospitals,https://indianbank.in/departments/loan-for-purchase-of-van-minibus-bus-ambulance-to-institutions-firms-psu-company-hospitals/,indianbank_133.txt,Found
IB Home Loan,https://indianbank.in/departments/ib-home-loan/,indianbank_134.txt,Found
Reverse Mortgage,https://indianbank.in/departments/ind-reverse-mortgage/,indianbank_135.txt,Found
Ind Mortgage,https://indianbank.in/departments/ind-mortgage/,indianbank_136.txt,Found
IB Home Loan Combo,https://indianbank.in/departments/ib-home-loan-combo/,indianbank_137.txt,Found
NRI Home Loan,https://indianbank.in/departments/nri-home-loan/,indianbank_138.txt,Found
OD against Gold Jewels,https://indianbank.in/departments/od-against-gold-jewels/,indianbank_139.txt,Found
IB HOME ENRICH,https://indianbank.in/departments/ib-home-enrich/,indianbank_140.txt,Found
IB Home Improve,https://indianbank.in/departments/home-improve/,indianbank_141.txt,Found
IB HOME ADVANTAGE,https://indianbank.in/departments/ib-home-advantage/,indianbank_142.txt,Found
